20:47:56  [main] 	XAMPP Installation Directory: "c:\users\jorou\downloads\teraonlineserver_shock_1732\web\"
20:47:56  [main] 	Checking for prerequisites
20:47:56  [main] 	All prerequisites found
20:47:56  [main] 	Initializing Modules
20:47:56  [main] 	The FileZilla module is disabled
20:47:56  [main] 	The Mercury module is disabled
20:47:56  [main] 	Starting Check-Timer
20:47:56  [main] 	Control Panel Ready
20:47:58  [Apache] 	Attempting to start Apache app...
20:47:58  [Apache] 	Status change detected: running
20:47:59  [mysql] 	Attempting to start MySQL app...
20:47:59  [mysql] 	Status change detected: running
23:15:00  [Apache] 	Attempting to stop Apache (PID: 9660)
23:15:00  [Apache] 	Attempting to stop Apache (PID: 984)
23:15:01  [Apache] 	Status change detected: stopped
23:15:01  [mysql] 	Attempting to stop MySQL app...
23:15:01  [mysql] 	Status change detected: stopped
23:15:03  [main] 	Executing "services.msc"
23:19:33  [Apache] 	Attempting to start Apache app...
23:19:33  [Apache] 	Status change detected: running
23:19:34  [mysql] 	Attempting to start MySQL app...
23:19:35  [mysql] 	Status change detected: running
23:36:12  [Apache] 	Status change detected: stopped
23:36:12  [Apache] 	Error: Apache shutdown unexpectedly.
23:36:12  [Apache] 	This may be due to a blocked port, missing dependencies, 
23:36:12  [Apache] 	improper privileges, a crash, or a shutdown by another method.
23:36:12  [Apache] 	Press the Logs button to view error logs and check
23:36:12  [Apache] 	the Windows Event Viewer for more clues
23:36:12  [Apache] 	If you need more help, copy and post this
23:36:12  [Apache] 	entire log window on the forums
23:36:13  [mysql] 	Status change detected: stopped
23:36:13  [mysql] 	Error: MySQL shutdown unexpectedly.
23:36:13  [mysql] 	This may be due to a blocked port, missing dependencies, 
23:36:13  [mysql] 	improper privileges, a crash, or a shutdown by another method.
23:36:13  [mysql] 	Press the Logs button to view error logs and check
23:36:13  [mysql] 	the Windows Event Viewer for more clues
23:36:13  [mysql] 	If you need more help, copy and post this
23:36:13  [mysql] 	entire log window on the forums
23:36:14  [mysql] 	Status change detected: running
23:36:15  [Apache] 	Status change detected: running
23:38:23  [Apache] 	Status change detected: stopped
23:38:23  [Apache] 	Error: Apache shutdown unexpectedly.
23:38:23  [Apache] 	This may be due to a blocked port, missing dependencies, 
23:38:23  [Apache] 	improper privileges, a crash, or a shutdown by another method.
23:38:23  [Apache] 	Press the Logs button to view error logs and check
23:38:23  [Apache] 	the Windows Event Viewer for more clues
23:38:23  [Apache] 	If you need more help, copy and post this
23:38:23  [Apache] 	entire log window on the forums
23:38:23  [mysql] 	Status change detected: stopped
23:38:23  [mysql] 	Error: MySQL shutdown unexpectedly.
23:38:23  [mysql] 	This may be due to a blocked port, missing dependencies, 
23:38:23  [mysql] 	improper privileges, a crash, or a shutdown by another method.
23:38:23  [mysql] 	Press the Logs button to view error logs and check
23:38:23  [mysql] 	the Windows Event Viewer for more clues
23:38:23  [mysql] 	If you need more help, copy and post this
23:38:23  [mysql] 	entire log window on the forums
23:38:29  [main] 	Deinitializing Modules
23:38:29  [main] 	Deinitializing Control Panel

23:38:44  [main] 	Initializing Control Panel
23:38:44  [main] 	Windows Version:  Enterprise  64-bit
23:38:44  [main] 	XAMPP Version: 7.3.9
23:38:44  [main] 	Control Panel Version: 3.2.4  [ Compiled: Jun 5th 2019 ]
23:38:44  [main] 	You are not running with administrator rights! This will work for
23:38:44  [main] 	most application stuff but whenever you do something with services
23:38:44  [main] 	there will be a security dialogue or things will break! So think 
23:38:44  [main] 	about running this application with administrator rights!
23:38:44  [main] 	XAMPP Installation Directory: "c:\users\jorou\downloads\teraonlineserver_shock_1732\web\"
23:38:44  [main] 	Checking for prerequisites
23:38:44  [main] 	All prerequisites found
23:38:44  [main] 	Initializing Modules
23:38:44  [main] 	The FileZilla module is disabled
23:38:44  [main] 	The Mercury module is disabled
23:38:44  [main] 	Starting Check-Timer
23:38:44  [main] 	Control Panel Ready
23:38:46  [Apache] 	Attempting to start Apache app...
23:38:46  [mysql] 	Attempting to start MySQL app...
23:38:46  [Apache] 	Status change detected: running
23:38:46  [mysql] 	Status change detected: running
23:40:24  [Apache] 	Attempting to stop Apache (PID: 14024)
23:40:24  [Apache] 	Attempting to stop Apache (PID: 13924)
23:40:25  [mysql] 	Attempting to stop MySQL app...
23:40:25  [Apache] 	Status change detected: stopped
23:40:25  [mysql] 	Status change detected: stopped
23:40:26  [mysql] 	Attempting to start MySQL app...
23:40:26  [mysql] 	Status change detected: running
23:40:26  [Apache] 	Attempting to start Apache app...
23:40:27  [Apache] 	Status change detected: running
23:43:10  [Apache] 	Attempting to stop Apache (PID: 3948)
23:43:10  [Apache] 	Attempting to stop Apache (PID: 6416)
23:43:10  [Apache] 	Status change detected: stopped
23:43:11  [mysql] 	Attempting to stop MySQL app...
23:43:11  [mysql] 	Status change detected: stopped
23:43:12  [Apache] 	Attempting to start Apache app...
23:43:12  [Apache] 	Status change detected: running
23:43:12  [mysql] 	Attempting to start MySQL app...
23:43:13  [mysql] 	Status change detected: running
00:06:41  [Apache] 	Attempting to stop Apache (PID: 13924)
00:06:41  [Apache] 	Attempting to stop Apache (PID: 10124)
00:06:42  [Apache] 	Status change detected: stopped
00:06:42  [mysql] 	Attempting to stop MySQL app...
00:06:42  [mysql] 	Status change detected: stopped
00:06:43  [Apache] 	Problem detected!
00:06:43  [Apache] 	Port 80 in use by "Unable to get info" with PID 13924!
00:06:43  [Apache] 	Apache WILL NOT start without the configured ports free!
00:06:43  [Apache] 	You need to uninstall/disable/reconfigure the blocking application
00:06:43  [Apache] 	or reconfigure Apache and the Control Panel to listen on a different port
00:06:43  [Apache] 	Attempting to start Apache app...
00:06:43  [Apache] 	Status change detected: running
00:06:43  [mysql] 	Attempting to start MySQL app...
00:06:43  [mysql] 	Status change detected: running
00:07:04  [main] 	Deinitializing Modules
00:07:04  [main] 	Deinitializing Control Panel

00:06:57  [main] 	Initializing Control Panel
00:06:57  [main] 	Windows Version:  Enterprise  64-bit
00:06:57  [main] 	XAMPP Version: 7.3.9
00:06:57  [main] 	Control Panel Version: 3.2.4  [ Compiled: Jun 5th 2019 ]
00:06:57  [main] 	You are not running with administrator rights! This will work for
00:06:57  [main] 	most application stuff but whenever you do something with services
00:06:57  [main] 	there will be a security dialogue or things will break! So think 
00:06:57  [main] 	about running this application with administrator rights!
00:06:57  [main] 	XAMPP Installation Directory: "c:\users\jorou\downloads\teraonlineserver_shock_1732\web\"
00:06:57  [main] 	Checking for prerequisites
00:06:57  [main] 	All prerequisites found
00:06:57  [main] 	Initializing Modules
00:06:57  [Apache] 	XAMPP Apache is already running on port 80
00:06:57  [Apache] 	XAMPP Apache is already running on port 443
00:06:57  [mysql] 	XAMPP MySQL is already running on port 3306
00:06:57  [main] 	The FileZilla module is disabled
00:06:57  [main] 	The Mercury module is disabled
00:06:57  [main] 	Starting Check-Timer
00:06:57  [main] 	Control Panel Ready
01:00:03  [Apache] 	Attempting to stop Apache (PID: 896)
01:00:03  [Apache] 	Attempting to stop Apache (PID: 10352)
01:00:04  [Apache] 	Status change detected: stopped
01:00:04  [mysql] 	Attempting to stop MySQL app...
01:00:04  [mysql] 	Status change detected: stopped
01:00:14  [main] 	Deinitializing Modules
01:00:14  [main] 	Deinitializing Control Panel

09:18:29  [main] 	Initializing Control Panel
09:18:29  [main] 	Windows Version:  Enterprise  64-bit
09:18:29  [main] 	XAMPP Version: 7.3.9
09:18:29  [main] 	Control Panel Version: 3.2.4  [ Compiled: Jun 5th 2019 ]
09:18:29  [main] 	You are not running with administrator rights! This will work for
09:18:29  [main] 	most application stuff but whenever you do something with services
09:18:29  [main] 	there will be a security dialogue or things will break! So think 
09:18:29  [main] 	about running this application with administrator rights!
09:18:29  [main] 	XAMPP Installation Directory: "c:\users\jorou\downloads\teraonlineserver_shock_1732\web\"
09:18:29  [main] 	Checking for prerequisites
09:18:29  [main] 	All prerequisites found
09:18:29  [main] 	Initializing Modules
09:18:29  [main] 	The FileZilla module is disabled
09:18:29  [main] 	The Mercury module is disabled
09:18:29  [main] 	Starting Check-Timer
09:18:29  [main] 	Control Panel Ready
09:18:30  [Apache] 	Attempting to start Apache app...
09:18:30  [Apache] 	Status change detected: running
09:18:31  [mysql] 	Attempting to start MySQL app...
09:18:31  [mysql] 	Status change detected: running
09:39:32  [main] 	Deinitializing Modules
09:39:32  [main] 	Deinitializing Control Panel

09:39:27  [main] 	Initializing Control Panel
09:39:27  [main] 	Windows Version:  Enterprise  64-bit
09:39:27  [main] 	XAMPP Version: 7.3.9
09:39:27  [main] 	Control Panel Version: 3.2.4  [ Compiled: Jun 5th 2019 ]
09:39:27  [main] 	You are not running with administrator rights! This will work for
09:39:27  [main] 	most application stuff but whenever you do something with services
09:39:27  [main] 	there will be a security dialogue or things will break! So think 
09:39:27  [main] 	about running this application with administrator rights!
09:39:27  [main] 	XAMPP Installation Directory: "c:\users\jorou\downloads\teraonlineserver_shock_1732\web\"
09:39:27  [main] 	Checking for prerequisites
09:39:27  [main] 	All prerequisites found
